companyName,branchName,homepage,prefecture,address,phoneNumber,fax,mailAddress,category1,category2,site,source
株式会社佐藤電機製作所,,http://www.s-d-s.co.jp,東京都,東京都三鷹市中原3-1-53,0553-23-0037,,info@s-d-s.co.jp,技術（電気・電子・機械）,CADオペレーター（機械）,Doda,https://doda.jp/DodaFront/View/JobSearchDetail/j_jid__3002372327/
株式会社佐藤電機製作所,,http://www.s-d-s.co.jp,東京都,東京都三鷹市中原3-1-53,0553-23-0037,,メール：info@s-d-s.co.jp,技術（電気・電子・機械）,CADオペレーター（機械）,Doda,https://doda.jp/DodaFront/View/JobSearchDetail/j_jid__3002372327/-tab__jd
高橋鉄工株式会社,,http://takahashi-ironworks.net/,山口県,山口県周南市大字栗屋145,0834-25-0117,,info@takahashi-tekko.com,技術（電気・電子・機械）,CADオペレーター（機械）,Doda,https://doda.jp/DodaFront/View/JobSearchDetail/j_jid__3002381927/
高橋鉄工株式会社,,http://takahashi-ironworks.net/,山口県,山口県周南市大字栗屋145,0834-25-0117,,メール：info@takahashi-tekko.com,技術（電気・電子・機械）,CADオペレーター（機械）,Doda,https://doda.jp/DodaFront/View/JobSearchDetail/j_jid__3002381927/-tab__jd
株式会社フィデア情報システムズ,,http://www.fisys.jp/,不明,秋田市山王3丁目4番23号,018-883-0200,,konndou@fisys.jp,エンジニア（IT・Web・ゲーム・通信）,Webサービス系エンジニア・プログラマ,Doda,https://doda.jp/DodaFront/View/JobSearchDetail/j_jid__3002428689/
株式会社あんどぷらす,,https://www.andplus.co.jp/,不明,静岡市葵区伝馬町10-25 中央ビル90 6階（2018年10月15日までは 静岡市葵区伝馬町9-3 芝田ビル3階B です）,,,info@andplus.co.jp,クリエイティブ,その他クリエイティブ系職種,Doda,https://doda.jp/DodaFront/View/JobSearchDetail/j_jid__3002524722/
株式会社ヴァケーション,,http://www.go-vacation.jp,石川県,石川県金沢市北安江3-13-13 NDビル,076-232-6611,,aikawa@go-vacation.jp,営業,その他営業職,Doda,https://doda.jp/DodaFront/View/JobSearchDetail/j_jid__3002365675/
菱明三菱電機機器販売株式会社,,http://www.ryomei.co.jp,秋田県,秋田県秋田市旭北寺町1番2号,018-862-5511,,recruit_rm@ryomei.co.jp,営業,その他営業職,Doda,https://doda.jp/DodaFront/View/JobSearchDetail/j_jid__3002494120/
株式会社シーケンス,,http://www.e-sqc.co.jp/,東京都,東京都新宿区新宿3-2-7 PLAZA EST新宿三丁目 7F,055-221-3001,,kyu-y@e-sqc.co.jp,技術（電気・電子・機械）,その他技術職（機械・電気）,Doda,https://doda.jp/DodaFront/View/JobSearchDetail/j_jid__3002423726/
東光鉄工株式会社,,http://www.toko-akita.co.jp,秋田県,秋田県大館市釈迦内字稲荷山下19-1,0186-48-6000,,tokorect@toko-akita.co.jp,技術（電気・電子・機械）,その他技術職（機械・電気）,Doda,https://doda.jp/DodaFront/View/JobSearchDetail/j_jid__3002565702/
クーリード株式会社,,https://www.coolied.co.jp/,東京都,東京都千代田区富士見1-6-1 フジビュータワー飯田橋9F,055-269-8798,,recruit-info@coolied.co.jp,技術（電気・電子・機械）,テクニカルライター,Doda,https://doda.jp/DodaFront/View/JobSearchDetail/j_jid__3002376698/
